,FMC CORP,WEYERHAEUSER CO,BP PLC,FMC CORP_cumulative_sum,WEYERHAEUSER CO_cumulative_sum,BP PLC_cumulative_sum
2017-10,0.0,0.0,0.0,0.0,0.0,0.0
2017-11,-0.4,-1.0,0.0,0.0,0.0,0.0
2017-12,0.034482758620689724,0.21739130434782616,0.0,0.0003463778837931041,0.0021665396804347835,0.0
2018-01,-0.2222222222222222,0.07692307692307687,0.0,0.0,0.0008420374972803239,0.0
2018-02,-0.32894736842105265,0.10126582278481022,0.0,0.0,0.0009528072248575221,0.0
2018-03,-0.4066666666666666,0.1439999999999999,0.0,0.0,0.001461774801539546,0.0
2018-04,-0.3240223463687151,0.03157894736842115,0.0,0.0,0.00034721078803059497,0.0
2018-05,-0.26027397260273977,-0.12,0.0,0.0,0.0,0.0
2018-06,-0.04878048780487809,0.2975206611570247,0.0,0.0,0.0029302609090909085,0.0
2018-07,-0.09722222222222221,0.2847222222222223,0.0,0.0,0.0026966434220848444,0.0
2018-08,-0.125,0.1515151515151516,0.0,0.0,0.0015660302461918453,0.0
2018-09,-0.2265625,0.16216216216216206,0.0,0.0,0.0015372399544356823,0.0
2018-10,-0.10810810810810811,0.11881188118811892,0.0,0.0,0.0009931506739012826,0.0
2018-11,-0.25,0.1063829787234043,0.0,0.0,0.0010784306856226273,0.0
2018-12,-0.2713178294573644,0.032608695652173836,0.0,0.0,0.00027883400413516605,0.0
2019-01,-0.18666666666666665,0.17307692307692313,0.0,0.0,0.0020809035670436163,0.0
2019-02,-0.20430107526881724,0.1499999999999999,0.0,0.0,0.0014622718031998,0.0
2019-03,-0.2948717948717948,0.08965517241379306,0.0,0.0,0.0009642561211605459,0.0
2019-04,-0.20952380952380956,0.24725274725274726,0.0,0.0,0.0025255184774563948,0.0
2019-05,-0.17204301075268813,0.16799999999999993,0.0,0.0,0.001450739539002776,0.0
2019-06,-0.2232142857142857,0.11111111111111116,0.0,0.0,0.001319525429760571,0.0
2019-07,-0.25,-0.1428571428571429,0.0,0.0,0.0,0.0
2019-08,-0.24271844660194175,0.05555555555555558,0.0,0.0,0.0005752328500000002,0.0
2019-09,-0.27884615384615385,0.15384615384615374,0.0,0.0,0.001646585872962915,0.0
2019-10,-0.25757575757575757,0.2666666666666666,0.0,0.0,0.002829397135994189,0.0
2019-11,-0.3652173913043478,0.1785714285714286,0.0,0.0,0.0018326389381780957,0.0
2019-12,-0.25,0.0,0.0,0.0,1.8972900965627354e-05,0.0
2020-01,-0.22429906542056077,0.05555555555555558,0.0,0.0,0.0005327425815430002,0.0
2020-02,-0.19117647058823528,0.0,0.0,0.0,4.780881471826966e-06,0.0
2020-03,-0.21568627450980393,0.0,0.0,0.0,3.158502730830607e-08,0.0
2020-04,-0.19191919191919193,0.09090909090909083,0.0,0.0,0.001172969043894346,0.0
2020-05,-0.33333333333333337,0.06896551724137923,0.0,0.0,0.0006475061890674539,0.0
2020-06,-0.21649484536082475,0.0625,0.0,0.0,0.0007024730029016607,0.0
2020-07,-0.196078431372549,-0.045454545454545414,0.0,0.0,0.0,0.0
2020-08,-0.2678571428571429,-0.125,0.0,0.0,0.0,0.0
2020-09,-0.19277108433734935,0.04761904761904767,0.0,0.0,0.0004480683714285719,0.0
2020-10,-0.19999999999999996,0.1071428571428572,0.0,0.0,0.0010295078388734811,0.0
2020-11,-0.24,0.16666666666666674,0.0,0.0,0.0017844986777669125,0.0
2020-12,-0.4,-0.5,0.0,0.0,0.0,0.0
2021-01,-0.2692307692307693,0.5,0.0,0.0,0.00465105875,0.0
2021-02,-0.4,-0.1428571428571429,0.0,0.0,0.0,0.0
2021-03,-0.22388059701492535,-0.33333333333333337,0.0,0.0,0.0,0.0
2021-04,-0.14634146341463417,0.5,0.0,0.0,0.0054452247,0.0
2021-05,-0.12195121951219512,-0.4444444444444444,0.0,0.0,0.0,0.0
2021-06,-0.20833333333333337,-0.09090909090909094,0.0,0.0,0.0,0.0
2021-07,-0.17142857142857137,0.0,0.0,0.0,0.0,0.0
2021-08,-0.19999999999999996,0.08333333333333326,0.0,0.0,0.0008894159499999992,0.0
2021-09,-0.24390243902439024,-0.5,0.0,0.0,0.0,0.0
2021-10,0.03125,0.0,0.0,0.000310622815625,0.0,0.0
2021-11,-0.39473684210526316,0.5,0.0,0.0,0.0052645576500000004,0.0
2021-12,-0.2894736842105263,0.3999999999999999,0.0,0.0,0.004456917357563124,0.0
2022-01,-0.2272727272727273,0.1428571428571428,0.0,0.0,0.0014463107048395235,0.0
2022-02,0.0625,-0.125,0.0,0.0006639598625,0.0,0.0
2022-03,-0.28888888888888886,0.050000000000000044,0.0,0.0,0.0004896368800000005,0.0
2022-04,-0.2592592592592593,-0.5,0.0,0.0,0.0,0.0
2022-05,-0.2093023255813954,-0.09999999999999998,0.0,0.0,0.0,0.0
2022-06,-0.18918918918918914,-0.11111111111111116,0.0,0.0,0.0,0.0
2022-07,-0.33999999999999997,-0.4285714285714286,0.0,0.0,0.0,0.0
2022-08,0.0,0.10000000000000009,0.0,0.0,0.000940528640000001,0.0
2022-09,0.0,0.0,-0.26068376068376065,0.0,7.905017188362248e-06,0.0
